501| Ornato Box| 01/07/2015 08:35:00am| 01/07/2015 11:09:00am| Preventiva tudo OK nos PCs| Nenhuma| NO| Adenis Duarte| -9.641714 , -35.7091394| 01-07-2015 11:08:54
502| Hotel Yes| 01/07/2015 11:15:00am| 01/07/2015 12:03:00pm| Preventiva tudo OK nos PCs| Nenhuma| NO| Adenis Duarte| -9.6429811 , -35.7043823| 01-07-2015 12:02:35
503| Loja Liquido| 01/07/2015 12:22:00pm| 01/07/2015 01:16:00pm| Preventiva Tudo OK nos PCs| Nenhuma| NO| Adenis Duarte| -9.6568478 , -35.7030918| 01-07-2015 13:15:07
504| Clínica Quatro Patas| 02/07/2015 10:05:00am| 02/07/2015 11:14:00am| Instalação de uma impressora mais preventiva Tudo OK nos PCs| Nenhuma| NO| Adenis Duarte| -9.6012723 , -35.7228576| 02-07-2015 11:14:00
505| Zebrinha (Serraria)| 03/07/2015 01:30:00pm| 03/07/2015 02:15:00pm| Instalação da TV das câmeras| Nenhuma| NO| Adenis Duarte| -9.6063619 , -35.7228632| 03-07-2015 14:15:16
506| Colégio Objetivo| 03/07/2015 02:05:00pm| 03/07/2015 04:00:00pm| Preventiva mais organização do laboratório tudo OK nos PCs| Uma CPU precisa do kit upgrade mais um HD e um 2 mouses| NO| Adenis Duarte| -9.6247375 , -35.7272617| 03-07-2015 15:59:17
507| Clínica Quatro Patas| 06/07/2015 11:35:00am| 06/07/2015 12:37:00pm| Preventiva Tudo OK nos PCs| Nenhuma| NO| Adenis Duarte| -9.6014839 , -35.7229571| 06-07-2015 12:36:31
508| Zebrinha (Serraria)| 06/07/2015 12:40:00pm| 06/07/2015 01:45:00pm| Preventiva Tudo OK no pc| Nenhuma| NO| Adenis Duarte| -9.6210888 , -35.7231498| 06-07-2015 14:40:50
509| Barro Duro Construções| 06/07/2015 02:00:00pm| 06/07/2015 02:54:00pm| Preventiva mais formatação de CPU| Nenhuma| NO| Adenis Duarte| -9.6211462 , -35.7231306| 06-07-2015 14:54:04
510| Ornato Box| 07/07/2015 10:30:00am| 07/07/2015 10:50:00am| Visita de rotina.| Verificar computador do felix, realizar limpeza fisica em busca de curto circuitos.| NO| Willian Acioly| -9.6417113 , -35.7091096| 07-07-2015 10:51:54
511| Zebrinha (Eustaquio Gomes)| 07/07/2015 02:10:00pm| 07/07/2015 03:03:00pm| Preventiva Tudo OK no PC| Nenhuma| NO| Adenis Duarte| -9.5442891 , -35.7888604| 07-07-2015 15:02:23
512| Zebrinha (Clima Bom)| 07/07/2015 03:11:00pm| 07/07/2015 03:42:00pm| Preventiva Tudo OK no PC| Nenhuma| NO| Adenis Duarte| -9.5727756 , -35.7778979| 07-07-2015 15:41:13
513| Zebrinha (Tabuleiro)| 07/07/2015 03:46:00pm| 07/07/2015 04:16:00pm| Preventiva Tudo OK no PC| Nenhuma| NO| Adenis Duarte| -9.5766109 , -35.7712062| 07-07-2015 16:15:36
514| Brasil Norte Madeiras| 07/07/2015 04:20:00pm| 07/07/2015 05:25:00pm| Preventiva Tudo OK nos PCs| Nenhuma| NO| Adenis Duarte| -9.5942399 , -35.7536578| 07-07-2015 17:24:56
515| Zebrinha (Centro)| 08/07/2015 08:50:00am| 08/07/2015 09:26:00am| Preventiva Tudo OK no PC| Nenhuma| NO| Adenis Duarte| -9.6630337 , -35.7374143| 08-07-2015 09:26:01
516| Hotel Yes| 08/07/2015 12:25:00pm| 08/07/2015 01:17:00pm| Preventiva Tudo OK nos PCs| Nenhuma| NO| Adenis Duarte| -9.6429454 , -35.7043557| 08-07-2015 13:16:29
517| Zebrinha (Centro)| 08/07/2015 02:25:00pm| 08/07/2015 03:00:00pm| Emergência captura filmagens| Nenhuma| NO| Adenis Duarte| -9.6630324 , -35.7374173| 08-07-2015 14:59:56
518| Zebrinha (Centenário)| 08/07/2015 03:10:00pm| 08/07/2015 03:50:00pm| Preventiva Tudo OK no PC| Nenhuma| NO| Adenis Duarte| -9.652145 , -35.7330254| 08-07-2015 15:49:25
519| Clínica Quatro Patas| 09/07/2015 08:20:00am| 09/07/2015 08:30:00am| Entregar de boleto| Nenhuma| NO| Adenis Duarte| -9.5600687 , -35.7568825| 09-07-2015 11:15:27
520| Asa Logistica| 09/07/2015 08:50:00am| 09/07/2015 11:15:00am| Preventiva Tudo OK nos PCs| Nenhuma| NO| Adenis Duarte| -9.5600688 , -35.7568836| 09-07-2015 11:16:07
521| Mercadinho Araújo| 09/07/2015 11:35:00am| 09/07/2015 12:10:00pm| Preventiva Tudo OK nos PCs mais entrega de boleto| Nenhuma| NO| Adenis Duarte| -9.5473853 , -35.7197251| 09-07-2015 12:09:26
522| Zebrinha (Santa Lucia)| 09/07/2015 12:25:00pm| 09/07/2015 12:48:00pm| Preventiva Tudo OK no PC| Nenhuma| NO| Adenis Duarte| -9.5822994 , -35.7618305| 09-07-2015 12:47:17
523| Colégio Objetivo| 09/07/2015 03:35:00pm| 09/07/2015 04:30:00pm| Preventiva Tudo OK nos PCs| Nenhuma| NO| Adenis Duarte| -9.6244693 , -35.7282838| 09-07-2015 16:58:44
524| Ornato Box| 10/07/2015 08:30:00am| 10/07/2015 10:05:00am| Preventiva Tudo OK nos PCs| Nenhuma| NO| Adenis Duarte| -9.6431098 , -35.7083937| 10-07-2015 10:24:09
525| Outra empresa| 10/07/2015 10:13:00am| 10/07/2015 11:19:00am| (Porto mar hotel) preventiva Tudo OK nos PCs| Segunda feira limpeza PC da recepção| NO| Adenis Duarte| -9.6431409 , -35.708343| 10-07-2015 11:18:46
526| Colégio Objetivo| 10/07/2015 11:35:00am| 10/07/2015 12:17:00pm| Preventiva Tudo OK nos PCs| Nenhuma| NO| Adenis Duarte| -9.624691 , -35.7270714| 10-07-2015 12:16:07
